train_step,time_steps,ppo_epochs,avg_policy_loss,avg_value_loss,avg_entropy,avg_kl
0,745,4,-0.030920,43.989823,0.571080,0.012048
4,1662,4,-0.024240,69.171296,0.614452,0.005075
8,2764,4,-0.020079,81.998714,0.635632,0.006228
12,4107,4,-0.018699,87.442116,0.774219,0.005473
16,5031,4,-0.021129,86.680885,0.602325,0.001436
20,5946,4,-0.020467,87.551807,0.577471,0.001836
24,6755,4,-0.021540,87.732845,0.543009,0.001352
28,7590,4,-0.022378,87.817936,0.519745,0.006120
32,8467,4,-0.020250,87.888517,0.495993,0.002541
36,9598,4,-0.015122,89.747011,0.550177,0.004832
40,10884,4,-0.016169,90.921690,0.645635,0.001888
44,12290,4,-0.016029,92.016445,0.704019,0.001376
48,13553,4,-0.015546,91.914307,0.569922,0.004833
52,14687,4,-0.014859,91.059511,0.494731,0.001399
56,15835,4,-0.015594,91.017405,0.465209,0.007228
0,745,4,-0.061518,6.524095,0.567065,0.005225
4,1598,4,-0.054868,7.621626,0.614654,0.001768
8,2278,4,-0.064097,11.638048,0.553602,0.002437
0,695,4,-0.100455,26.768838,0.555260,0.006906
4,1350,4,-0.098774,32.360928,0.547045,0.000873
8,1971,4,-0.099306,35.277606,0.519507,0.001321
12,2549,4,-0.098685,37.972245,0.619454,0.001093
16,3115,4,-0.098075,42.108963,1.052844,0.000646
20,3725,4,-0.090339,40.924210,0.567196,0.000540
0,689,4,-0.096908,26.125212,0.543466,0.003447
4,1286,4,-0.101641,33.433993,0.697202,0.001041
8,1898,4,-0.099145,36.133220,0.597107,0.003177
12,2469,4,-0.098969,37.843502,0.544196,0.000945
16,3055,4,-0.101987,43.139593,0.701978,0.001185
20,3635,4,-0.097170,40.463874,0.476435,0.001472
24,4202,4,-0.098251,44.266644,0.939035,0.001447
28,4805,4,-0.095736,45.192686,0.482663,0.002042
32,5410,4,-0.094858,41.914412,0.819158,0.002475
36,6056,4,-0.089304,33.084420,0.641324,0.001372
40,6846,4,-0.079920,37.849977,0.539686,0.000464
44,7634,4,-0.079804,37.294595,0.533171,0.000398
48,8386,4,-0.079115,38.032651,0.504285,0.000528
52,9075,4,-0.080039,41.170216,0.476646,0.000832
56,9673,4,-0.085518,44.422567,0.450288,0.000964
60,10235,4,-0.091009,44.232515,0.546635,0.003098
64,10814,4,-0.088351,41.825042,0.427267,0.002097
68,11312,4,-0.094895,50.732035,0.902091,0.002086
72,11785,4,-0.097842,47.004251,1.008145,0.002692
76,12260,4,-0.096427,43.474932,0.863458,0.001830
80,12719,4,-0.098482,46.902172,0.959327,0.001867
84,13181,4,-0.100815,46.886681,1.086268,0.001825
88,13630,4,-0.095126,32.717983,1.018666,0.000548
92,14091,4,-0.103524,37.857282,1.106660,0.001187
96,14554,4,-0.097274,31.023159,1.016760,0.002569
100,15059,4,-0.094188,23.363664,0.409363,0.000632
104,15535,4,-0.098936,25.163397,1.063524,0.000852
108,16050,4,-0.095931,22.986195,0.424259,0.000467
112,16546,4,-0.102118,23.787778,1.114244,0.001165
116,17042,4,-0.097656,17.858046,0.967011,0.002877
120,17639,4,-0.083652,19.515408,0.428375,0.000346
124,18111,4,-0.095317,24.125612,0.959238,0.001228
128,18597,4,-0.096709,32.281266,0.902659,0.000940
132,19073,4,-0.093206,22.650167,1.038500,0.000439
136,19545,4,-0.094313,27.190906,0.948983,0.000726
0,648,4,-0.100093,21.249148,0.531696,0.008647
4,1231,4,-0.101942,30.413218,0.935571,0.002484
8,1837,4,-0.105389,36.003496,0.986523,0.000838
12,2483,4,-0.097140,36.666125,0.529473,0.000848
16,3127,4,-0.095079,38.112729,0.515437,0.001128
20,3755,4,-0.097650,40.795721,0.511440,0.001430
24,4293,4,-0.101128,46.922121,0.951854,0.001381
28,4824,4,-0.100532,45.502481,0.956336,0.001967
32,5348,4,-0.096698,47.524570,0.435010,0.001727
36,5883,4,-0.095648,48.368565,0.442777,0.000231
40,6377,4,-0.100749,45.942045,1.010475,0.000702
44,6865,4,-0.103733,45.811994,1.155701,0.001496
0,648,4,-0.103426,27.854773,0.660295,0.004358
4,1234,4,-0.101163,37.501954,0.886465,0.001501
8,1770,4,-0.105208,40.566481,0.994090,0.000730
12,2332,4,-0.104557,35.246715,0.982430,0.001686
0,617,4,-0.101941,28.329119,0.512762,0.004377
4,1305,4,-0.091350,29.999724,0.535612,0.001156
8,1930,4,-0.098137,33.421297,0.539337,0.001949
12,2498,4,-0.101462,38.460795,0.725143,0.002443
16,3052,4,-0.100835,47.864484,0.865053,0.000555
20,3701,4,-0.093418,38.822788,0.510218,0.001464
24,4275,4,-0.099354,45.802942,0.922055,0.001963
28,4842,4,-0.094832,41.967863,0.957243,0.001152
32,5498,4,-0.088361,38.002033,0.498681,0.000299
36,6131,4,-0.088407,36.862852,0.518386,0.000523
40,6750,4,-0.091407,41.715781,0.476077,0.001008
44,7337,4,-0.088730,44.970770,0.448113,0.000482
48,7911,4,-0.091529,15.827131,0.502086,0.000858
52,8443,4,-0.091634,7.500703,0.908915,0.002253
56,8951,4,-0.091444,6.505097,0.732380,0.001049
60,9550,4,-0.080736,5.374335,0.406003,0.002480
64,10062,4,-0.087544,12.276724,0.763955,0.000608
68,10558,4,-0.092298,11.015132,0.968161,0.001439
72,11048,4,-0.078001,9.758276,0.862396,0.000892
76,11537,4,-0.090658,5.402676,0.892341,0.001157
80,12078,4,-0.082170,6.467493,0.378344,0.000710
84,12545,4,-0.088301,4.065617,0.906845,0.002573
88,13052,4,-0.081811,4.887639,0.351794,0.001222
92,13522,4,-0.087327,4.031906,0.878348,0.000783
96,14011,4,-0.086752,5.806535,0.798152,0.001687
100,14494,4,-0.083894,4.795376,0.922004,0.001045
104,15038,4,-0.080638,4.330147,0.376547,0.000394
108,15535,4,-0.086360,3.811471,0.816976,0.000455
112,16040,4,-0.086339,5.119276,0.800937,0.000525
116,16523,4,-0.090240,4.903093,0.965780,0.000712
120,17006,4,-0.081077,8.455819,0.858635,0.001299
124,17469,4,-0.086734,2.928760,0.976913,0.000999
128,17930,4,-0.092861,3.427649,1.023720,0.001697
132,18409,4,-0.085233,2.964038,0.922422,0.000829
136,18897,4,-0.087007,4.412392,0.782596,0.000586
140,19367,4,-0.090679,3.134808,0.892037,0.001058
144,19846,4,-0.085254,3.012918,0.902711,0.001351
148,20344,4,-0.081110,3.691080,0.656668,0.000640
152,20844,4,-0.076342,3.958983,0.812055,0.000489
156,21351,4,-0.071627,16.047335,0.795441,0.001111
